name,age,Contract valid until,Overall rating,Potential,Value,Wage,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
K. Mbappé,23,2024,91,95,190500000.0,230000.0,78,93,72,85,83,93,80,69,71,91,97,97,93,93,81,88,77,87,76,82,64,38,92,83,84,88,26,34,32,13,5,7,11,6
E. Haaland,21,2027,90,94,176500000.0,240000.0,47,95,80,75,89,78,77,62,53,82,82,94,76,93,74,94,78,79,93,86,87,42,95,74,84,87,41,53,29,7,14,13,11,7
Vinícius Jr.,21,2025,86,92,109000000.0,200000.0,72,84,50,75,72,92,77,62,73,89,95,95,94,82,83,76,75,84,64,76,58,26,82,75,65,79,32,25,18,5,7,7,7,10
H. Kane,28,2024,89,89,105500000.0,240000.0,80,93,87,84,87,83,82,65,86,86,67,70,66,92,73,92,79,83,83,86,80,42,94,87,92,92,46,36,38,8,10,11,14,11
F. Valverde,23,2027,86,91,102000000.0,210000.0,78,77,59,86,70,81,74,69,87,85,84,91,77,87,68,89,62,89,80,87,81,81,80,84,59,84,79,82,79,6,10,6,15,8
M. Salah,30,2025,89,89,99500000.0,260000.0,80,92,59,84,83,88,84,69,77,86,89,89,89,92,91,82,69,87,76,84,63,55,91,84,81,90,38,43,41,14,14,9,11,14
Neymar Jr,30,2025,89,89,99500000.0,200000.0,83,83,63,85,86,95,88,87,81,94,88,86,93,88,82,79,62,78,52,81,63,37,86,90,91,93,35,32,29,9,9,15,15,11
C. Nkunku,24,2024,86,89,94000000.0,90000.0,81,86,61,85,70,89,82,80,80,88,81,85,88,85,90,79,59,78,64,78,59,64,86,84,67,81,62,64,54,5,6,10,15,7
H. Son,29,2025,88,88,89500000.0,230000.0,83,91,68,81,79,86,87,74,74,82,85,88,82,91,76,88,60,88,64,89,62,39,91,81,73,89,47,34,33,11,13,13,6,10
R. Lewandowski,33,2025,91,91,84000000.0,420000.0,71,94,91,84,89,85,79,85,70,89,76,75,77,93,82,91,85,76,87,84,81,49,94,81,90,88,35,42,19,15,6,12,8,10
B. Saka,20,2027,85,90,80000000.0,110000.0,82,83,45,81,76,89,81,69,65,87,88,82,84,85,86,77,54,84,63,78,68,68,82,83,82,79,65,69,67,7,8,13,9,13
S. Mané,30,2025,87,87,78000000.0,125000.0,78,85,80,84,75,88,77,64,71,86,84,79,89,90,88,85,86,82,72,78,75,35,88,84,75,84,42,42,38,10,10,15,7,14
L. Martínez,24,2026,85,88,74500000.0,100000.0,58,87,84,75,90,84,78,54,73,86,86,80,86,86,89,80,89,80,84,76,90,45,87,78,74,86,55,31,44,11,8,8,8,13
V. Osimhen,23,2025,85,88,74500000.0,86000.0,62,90,83,72,78,80,63,49,54,81,87,93,78,86,68,80,90,81,86,73,68,34,88,70,75,80,36,45,22,14,14,10,9,6
M. Rashford,24,2024,85,88,73500000.0,170000.0,77,86,76,79,74,86,84,77,72,84,86,92,82,85,74,93,76,76,74,80,69,39,85,79,85,82,40,38,33,11,6,15,7,14
P. Dybala,28,2025,86,86,69500000.0,130000.0,82,83,58,86,88,90,89,88,79,93,84,76,88,79,90,84,74,73,60,89,43,42,82,91,87,79,32,41,39,5,4,4,5,8
P. Foden,22,2027,84,90,67500000.0,165000.0,77,80,47,85,59,86,75,68,82,90,86,78,91,81,91,82,49,83,47,77,64,59,82,83,64,81,60,59,47,8,15,6,10,13
D. Vlahović,22,2026,84,89,65500000.0,140000.0,57,88,79,71,78,81,75,79,59,85,77,83,63,85,53,84,71,79,88,82,69,24,88,68,79,80,19,26,24,5,15,6,11,10
K. Benzema,34,2023,91,91,64000000.0,450000.0,75,91,90,89,88,87,82,73,76,91,78,79,77,92,72,87,79,82,82,81,63,39,92,90,82,90,43,24,18,13,11,5,5,7
Rafael Leão,23,2024,84,89,63500000.0,90000.0,77,82,65,78,74,89,80,60,63,86,92,92,85,83,80,80,62,77,80,73,60,24,82,74,63,83,22,24,21,10,12,15,11,9
D. Núñez,23,2028,82,89,61500000.0,120000.0,68,83,79,72,79,76,75,61,68,76,88,91,78,85,67,86,78,89,87,75,80,41,86,76,78,82,38,41,34,14,10,12,10,13
M. Diaby,22,2025,84,88,61500000.0,70000.0,76,80,28,80,67,88,71,42,72,85,95,94,92,76,93,73,62,82,44,64,67,48,79,77,48,75,48,35,46,8,9,8,8,14
João Félix,22,"Jun 30, 2023",83,89,59000000.0,71000.0,77,79,69,83,83,88,83,67,76,87,82,82,88,81,84,80,76,75,62,81,68,40,84,85,68,85,30,42,35,13,12,14,13,14
Rodrygo,21,2028,83,89,58500000.0,150000.0,75,86,67,79,67,86,80,73,73,85,88,88,87,80,84,76,75,81,54,76,53,21,79,79,81,82,24,34,30,9,8,12,8,5
R. Sterling,27,2027,85,85,57500000.0,180000.0,78,81,46,80,67,85,79,72,67,83,91,81,94,87,93,78,57,78,65,78,59,30,89,80,70,77,47,53,47,15,12,12,15,9
K. Havertz,23,2025,83,89,57500000.0,120000.0,74,81,80,83,80,85,84,53,79,85,76,85,76,84,73,76,75,77,69,78,52,38,83,82,73,84,39,46,38,6,8,11,10,12
A. Griezmann,31,2026,86,86,57500000.0,105000.0,82,87,83,84,85,86,87,85,81,88,80,80,88,87,83,84,87,86,69,86,74,57,89,87,79,89,45,63,60,14,8,14,13,14
Diogo Jota,25,2025,84,87,56500000.0,155000.0,73,84,84,77,79,85,77,58,72,84,85,81,86,86,85,85,81,79,71,75,85,56,87,77,69,80,53,57,45,7,12,15,9,11
C. Gakpo,23,2028,83,88,55500000.0,130000.0,83,83,68,78,75,86,78,76,70,85,87,84,80,81,71,86,75,76,77,83,60,39,81,79,68,83,43,38,28,15,11,7,9,5
C. Immobile,32,2026,86,86,55000000.0,100000.0,55,91,81,79,85,79,70,58,57,80,84,86,75,87,84,86,82,74,74,80,73,40,90,71,88,76,34,33,32,6,8,15,12,6
M. Depay,28,2025,85,85,55000000.0,100000.0,84,83,65,81,75,87,84,83,75,86,81,83,80,84,81,86,69,79,83,83,72,28,85,85,76,79,23,31,20,8,14,6,12,10
L. Messi,35,2023,91,91,54000000.0,195000.0,84,90,70,91,88,95,93,93,90,93,87,76,91,92,95,86,68,70,68,91,44,40,93,94,75,96,20,35,24,6,11,15,14,8
Gabriel Jesus,25,2027,84,86,53500000.0,130000.0,74,83,78,81,79,88,76,54,66,87,86,81,92,87,90,84,81,82,74,78,82,32,88,79,75,78,45,30,28,13,8,6,6,15
Gerard Moreno,30,2027,85,85,53000000.0,64000.0,77,89,82,79,81,85,77,62,75,84,78,78,77,85,72,83,79,77,74,82,61,42,85,78,85,80,44,41,41,15,12,7,12,10
F. Chiesa,24,2025,84,85,52000000.0,125000.0,75,80,50,78,80,89,78,62,72,82,91,91,89,86,81,86,53,85,70,84,74,44,84,77,62,82,60,48,44,6,7,8,9,7
L. Díaz,25,2027,84,85,50500000.0,155000.0,76,80,62,76,74,89,75,58,71,87,92,91,88,83,75,84,73,84,69,82,70,25,81,77,63,83,28,38,34,10,13,13,14,14
O. Dembélé,25,2024,84,85,50500000.0,195000.0,86,75,43,80,76,89,82,64,76,87,94,93,90,80,81,83,58,68,51,76,54,36,77,83,75,80,42,30,33,6,6,14,10,13
Gabriel Martinelli,21,2027,82,88,49000000.0,85000.0,75,83,72,77,74,89,72,65,55,83,91,88,86,81,82,77,55,82,63,67,80,37,80,78,60,77,44,44,43,10,6,7,6,6
Ferran Torres,22,2027,82,88,49000000.0,150000.0,79,80,75,81,74,84,76,60,78,84,87,81,83,82,78,79,75,73,69,76,54,34,86,82,74,82,35,24,28,12,9,11,15,12
J. Grealish,26,2027,84,84,46000000.0,185000.0,82,76,48,85,72,88,78,74,81,89,79,78,85,81,86,76,47,83,71,79,65,49,81,87,58,88,55,52,48,11,6,11,10,13
S. Gnabry,26,2026,84,84,46000000.0,90000.0,77,85,42,82,83,85,74,62,73,82,84,79,85,81,88,87,55,75,69,82,63,38,85,81,70,82,45,44,43,14,10,10,9,7
L. Sané,26,2025,84,84,46000000.0,90000.0,81,80,72,82,84,86,84,83,70,85,88,92,87,82,81,86,64,70,66,80,63,34,81,81,71,82,36,32,35,8,12,9,9,14
Dani Olmo,24,2024,82,87,46000000.0,59000.0,78,74,43,84,76,86,72,75,79,86,77,60,86,83,86,79,55,77,54,77,51,57,82,83,66,82,50,50,44,15,15,13,12,11
L. Pellegrini,26,2026,83,85,45000000.0,88000.0,74,75,74,88,74,80,74,79,83,87,79,79,80,85,82,79,70,90,74,76,74,72,80,87,80,84,73,76,73,12,7,10,13,11
D. Berardi,27,2027,84,84,45000000.0,62000.0,77,82,62,85,78,85,78,75,79,88,82,82,92,84,87,83,65,78,64,80,85,25,83,83,76,78,42,30,30,5,6,5,5,6
R. Mahrez,31,2025,85,85,44500000.0,200000.0,80,80,56,83,76,89,85,80,75,90,84,77,91,83,88,82,56,75,57,82,48,39,84,83,74,81,45,31,22,15,9,13,11,6
J. Sancho,22,2026,82,86,44500000.0,130000.0,77,76,38,85,80,89,84,65,68,86,81,76,89,78,89,63,49,66,42,59,25,36,81,84,74,85,30,34,28,7,11,10,11,13
R. Kolo Muani,23,2027,82,86,44000000.0,40000.0,64,80,78,79,80,86,70,54,62,83,90,87,84,81,83,81,82,74,76,66,32,38,84,82,67,85,32,33,32,7,14,15,8,5
P. Schick,26,2027,83,84,43500000.0,80000.0,64,82,85,78,80,83,78,56,64,84,74,84,83,82,67,82,75,69,83,80,65,25,85,74,61,84,44,24,19,11,15,8,9,14
Raphinha,25,2027,83,84,43500000.0,180000.0,79,77,45,76,72,87,81,79,74,84,90,91,88,83,79,83,74,86,65,79,76,55,82,77,78,80,47,54,38,8,7,13,8,14
Gavi,17,2026,80,89,43500000.0,18000.0,69,68,42,83,49,84,74,47,79,83,77,75,86,84,90,56,70,84,58,67,85,75,78,82,51,74,59,72,66,8,10,11,7,13
Oyarzabal,25,2028,83,84,43500000.0,47000.0,80,85,60,82,74,84,77,78,73,85,78,76,77,79,77,80,72,79,57,81,52,29,85,82,84,83,55,32,30,10,6,10,13,11
T. Müller,32,2024,85,85,43000000.0,100000.0,85,85,79,85,84,77,81,59,79,83,64,59,68,93,71,78,77,82,66,79,62,58,94,86,70,84,47,57,46,6,7,11,14,14
R. Lukaku,29,"Jun 30, 2023",84,84,42000000.0,170000.0,73,86,83,77,79,82,78,66,70,78,72,86,59,82,52,87,74,67,95,75,71,27,85,75,88,82,30,41,30,8,15,14,7,10
Antony,22,2027,81,87,41500000.0,120000.0,79,76,45,74,67,86,86,74,62,88,89,78,93,82,88,75,57,81,62,81,82,50,76,75,66,82,49,45,31,9,10,14,8,13
F. Kostić,29,2026,84,84,41500000.0,150000.0,90,72,59,81,75,84,85,80,79,82,85,85,75,82,79,86,67,90,77,78,76,69,79,80,66,82,69,74,72,13,14,12,12,13
K. Kvaratskhelia,21,2027,81,87,41500000.0,53000.0,75,78,62,80,64,85,82,65,76,87,83,84,84,74,73,78,59,79,70,78,62,40,80,81,65,82,38,39,34,9,15,8,14,8
D. Kulusevski,22,"Jun 30, 2023",81,86,39500000.0,105000.0,83,77,54,82,80,85,84,61,72,85,77,78,79,80,69,76,66,84,73,82,67,55,79,83,65,81,50,64,58,14,5,10,10,5
Á. Correa,27,2026,83,83,39500000.0,80000.0,75,86,71,80,80,87,82,66,68,87,86,85,90,84,88,83,53,84,68,86,79,48,86,82,67,79,42,53,44,13,10,9,8,16
Marco Asensio,26,2023,83,83,39500000.0,200000.0,81,78,57,81,79,83,84,76,82,87,83,81,80,78,76,88,58,75,63,87,45,45,80,80,62,82,40,42,39,13,9,6,12,10
