name,age,Contract valid until,Overall rating,Potential,Value,Wage,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
Rúben Dias,25,2027,88,91,107500000.0,230000.0,54,29,87,82,32,64,46,48,76,74,54,69,60,89,56,74,78,77,90,26,92,86,39,51,45,81,90,88,85,7,8,13,7,12
J. Kimmich,27,2025,89,90,105500000.0,130000.0,91,68,72,87,69,82,85,73,90,85,77,60,84,88,84,78,79,94,68,83,89,85,80,85,50,85,83,85,78,8,15,7,15,15
Marquinhos,28,2028,88,89,86500000.0,170000.0,68,59,88,84,35,69,58,32,85,79,77,81,68,87,66,65,92,82,78,45,81,89,70,76,52,86,90,89,89,6,6,12,10,13
T. Hernández,24,2026,85,90,76000000.0,82000.0,84,69,74,79,66,83,69,64,68,79,92,94,78,85,76,83,68,90,81,72,82,78,80,73,50,80,74,81,80,12,10,7,7,7
V. van Dijk,30,2025,88,88,75000000.0,210000.0,53,52,85,79,45,70,60,70,86,76,67,87,61,88,53,81,88,74,93,64,85,88,47,65,62,89,90,90,86,13,10,13,11,11
João Cancelo,28,"Jun 30, 2023",87,87,72000000.0,210000.0,87,69,72,87,62,85,87,69,79,86,86,84,79,84,78,80,72,91,62,79,76,81,81,85,52,85,79,83,79,6,9,15,14,14
M. de Ligt,22,2027,85,89,71000000.0,77000.0,52,50,85,77,45,65,48,55,67,73,62,71,53,85,62,84,89,75,92,72,85,81,44,45,40,82,84,85,88,12,11,11,12,10
Éder Militão,24,2025,85,89,69500000.0,175000.0,69,48,88,78,34,70,60,40,76,72,83,88,70,85,62,62,87,86,79,42,84,86,64,59,60,74,86,87,85,11,8,15,12,15
T. Alexander-Arnold,23,2025,85,88,68000000.0,130000.0,91,62,69,87,63,78,87,85,91,84,73,79,73,82,73,82,66,89,66,75,69,82,78,90,55,82,77,81,78,14,15,14,6,7
A. Laporte,28,2025,86,87,64500000.0,195000.0,58,45,84,83,40,63,61,69,81,78,55,65,57,87,55,68,80,67,83,47,82,87,54,65,44,84,86,87,86,10,11,5,14,5
A. Robertson,28,2026,86,86,61500000.0,170000.0,87,55,67,82,32,81,82,71,76,83,82,79,75,85,74,76,62,95,65,65,85,83,80,82,55,83,82,83,81,11,8,10,7,14
A. Davies,21,2025,84,89,60500000.0,59000.0,85,64,70,82,59,85,72,44,71,84,96,94,86,84,84,74,78,81,75,63,77,78,77,77,58,78,74,76,76,11,11,6,5,14
