name,age,Contract valid until,Overall rating,Potential,Value,Wage,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
K. De Bruyne,31,2025,91,91,107500000.0,350000.0,94,85,55,93,83,86,89,83,93,90,75,73,76,91,78,92,63,89,74,91,75,65,88,94,83,88,66,66,53,15,13,5,10,13
J. Kimmich,27,2025,89,90,105500000.0,130000.0,91,68,72,87,69,82,85,73,90,85,77,60,84,88,84,78,79,94,68,83,89,85,80,85,50,85,83,85,78,8,15,7,15,15
F. de Jong,25,2026,87,90,104500000.0,230000.0,78,72,72,91,70,87,84,64,89,89,80,83,87,88,79,68,76,89,74,66,74,82,77,88,53,90,76,76,77,7,13,10,10,9
Pedri,19,2026,85,92,104500000.0,115000.0,68,72,50,87,56,87,79,62,85,88,82,76,88,85,90,68,65,88,73,68,62,72,77,88,53,87,68,73,63,12,7,11,8,8
F. Valverde,23,2027,86,91,102000000.0,210000.0,78,77,59,86,70,81,74,69,87,85,84,91,77,87,68,89,62,89,80,87,81,81,80,84,59,84,79,82,79,6,10,6,15,8
Bernardo Silva,27,2025,88,88,96500000.0,260000.0,84,78,51,91,78,92,84,67,80,91,78,64,95,88,92,79,51,93,54,78,78,69,83,86,68,89,70,74,60,9,10,14,12,9
C. Nkunku,24,2024,86,89,94000000.0,90000.0,81,86,61,85,70,89,82,80,80,88,81,85,88,85,90,79,59,78,64,78,59,64,86,84,67,81,62,64,54,5,6,10,15,7
M. Ødegaard,23,2026,86,89,93000000.0,125000.0,84,81,52,89,77,86,83,85,85,87,78,71,85,77,83,81,46,81,56,82,63,65,82,89,63,82,65,49,51,14,15,15,8,10
J. Musiala,19,2026,84,92,91000000.0,51000.0,66,76,49,81,65,92,67,49,75,88,84,79,92,84,91,71,55,77,53,74,59,65,78,81,53,85,64,63,69,6,9,8,8,11
Rodri,26,2027,87,89,88500000.0,200000.0,63,64,80,86,59,78,65,61,83,85,54,62,65,82,65,89,72,88,84,82,82,83,75,83,46,85,84,86,78,10,10,7,14,8
Casemiro,30,2026,89,89,86000000.0,240000.0,68,64,82,84,65,69,75,74,84,79,60,66,61,88,66,88,85,88,90,81,91,89,75,79,66,85,90,89,88,13,14,16,12,12
Bruno Fernandes,27,2026,87,87,85000000.0,210000.0,87,83,66,90,87,79,86,85,90,87,75,69,78,91,79,88,71,95,66,88,84,66,87,93,90,81,69,74,65,12,14,15,8,14
F. Wirtz,19,2027,84,91,82000000.0,46000.0,77,78,39,86,73,86,76,62,83,88,78,77,85,83,83,74,52,79,53,76,63,45,80,88,60,83,59,57,44,14,14,13,6,10
J. Bellingham,19,2025,85,91,81500000.0,44000.0,66,77,69,86,71,86,73,49,85,84,77,70,81,85,79,78,77,91,75,74,85,81,78,84,57,81,77,79,77,14,11,10,5,8
B. Saka,20,2027,85,90,80000000.0,110000.0,82,83,45,81,76,89,81,69,65,87,88,82,84,85,86,77,54,84,63,78,68,68,82,83,82,79,65,69,67,7,8,13,9,13
S. Mané,30,2025,87,87,78000000.0,125000.0,78,85,80,84,75,88,77,64,71,86,84,79,89,90,88,85,86,82,72,78,75,35,88,84,75,84,42,42,38,10,10,15,7,14
M. Verratti,29,2026,87,87,77500000.0,155000.0,82,60,57,90,64,91,85,64,89,92,65,55,90,87,93,60,66,75,53,58,89,86,78,89,64,94,78,82,84,12,12,15,15,10
